human_code,cefr,country,sex,genre,language_env
WE_CHN_082,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_083,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_084,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_085,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_086,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_087,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_088,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_089,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_090,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_091,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_092,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_093,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_094,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_095,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_096,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_097,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_098,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_099,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_100,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_101,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_102,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_103,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_104,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_105,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_106,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_107,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_108,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_109,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_110,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_111,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_112,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_113,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_114,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_115,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_116,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_117,A2_0,CHN,F,Sciences & Technology,EFL
WE_CHN_118,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_119,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_120,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_121,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_122,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_123,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_124,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_125,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_126,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_127,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_128,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_129,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_130,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_131,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_132,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_133,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_134,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_135,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_136,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_137,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_138,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_139,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_140,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_141,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_142,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_143,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_144,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_145,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_146,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_147,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_148,B1_1,CHN,M,Humanities,EFL
WE_CHN_149,B1_1,CHN,F,Humanities,EFL
WE_CHN_150,B1_1,CHN,F,Humanities,EFL
WE_CHN_151,B1_2,CHN,M,Humanities,EFL
WE_CHN_152,B1_2,CHN,F,Humanities,EFL
WE_CHN_153,B1_1,CHN,F,Humanities,EFL
WE_CHN_154,B1_1,CHN,F,Humanities,EFL
WE_CHN_155,B1_1,CHN,F,Humanities,EFL
WE_CHN_156,B1_1,CHN,F,Humanities,EFL
WE_CHN_157,B1_1,CHN,F,Humanities,EFL
WE_CHN_158,B1_2,CHN,F,Humanities,EFL
WE_CHN_159,B1_1,CHN,F,Humanities,EFL
WE_CHN_160,B2_0,CHN,M,Humanities,EFL
WE_CHN_161,B1_1,CHN,F,Humanities,EFL
WE_CHN_162,B1_1,CHN,F,Humanities,EFL
WE_CHN_163,B2_0,CHN,F,Humanities,EFL
WE_CHN_164,B1_1,CHN,F,Humanities,EFL
WE_CHN_165,B1_1,CHN,F,Humanities,EFL
WE_CHN_166,B1_1,CHN,F,Humanities,EFL
WE_CHN_167,B1_1,CHN,F,Humanities,EFL
WE_CHN_168,B1_1,CHN,F,Humanities,EFL
WE_CHN_169,B1_2,CHN,F,Humanities,EFL
WE_CHN_170,B1_2,CHN,F,Humanities,EFL
WE_CHN_171,B1_1,CHN,F,Humanities,EFL
WE_CHN_172,B2_0,CHN,F,Humanities,EFL
WE_CHN_173,B1_1,CHN,F,Humanities,EFL
WE_CHN_174,B1_1,CHN,F,Humanities,EFL
WE_CHN_175,B1_1,CHN,F,Humanities,EFL
WE_CHN_176,B1_1,CHN,F,Humanities,EFL
WE_CHN_177,B1_2,CHN,F,Humanities,EFL
WE_CHN_178,B1_1,CHN,F,Humanities,EFL
WE_CHN_179,B1_1,CHN,F,Humanities,EFL
WE_CHN_180,B1_2,CHN,F,Humanities,EFL
WE_CHN_181,B1_1,CHN,M,Humanities,EFL
WE_CHN_182,B2_0,CHN,F,Humanities,EFL
WE_CHN_183,B1_2,CHN,F,Humanities,EFL
WE_CHN_184,A2_0,CHN,F,Humanities,EFL
WE_CHN_185,B1_1,CHN,F,Humanities,EFL
WE_CHN_186,B1_1,CHN,F,Humanities,EFL
WE_CHN_187,B1_1,CHN,F,Humanities,EFL
WE_CHN_188,A2_0,CHN,F,Humanities,EFL
WE_CHN_189,B1_1,CHN,F,Humanities,EFL
WE_CHN_190,B1_1,CHN,F,Humanities,EFL
WE_CHN_191,B1_1,CHN,M,Humanities,EFL
WE_CHN_192,B1_1,CHN,F,Humanities,EFL
WE_CHN_193,B1_1,CHN,F,Humanities,EFL
WE_CHN_194,B1_1,CHN,M,Humanities,EFL
WE_CHN_195,B1_1,CHN,F,Humanities,EFL
WE_CHN_196,B1_1,CHN,F,Humanities,EFL
WE_CHN_197,B1_1,CHN,M,Humanities,EFL
WE_CHN_198,A2_0,CHN,M,Humanities,EFL
WE_CHN_199,B1_1,CHN,M,Humanities,EFL
WE_CHN_200,B1_1,CHN,F,Humanities,EFL
WE_CHN_201,B1_1,CHN,M,Humanities,EFL
WE_CHN_202,A2_0,CHN,M,Humanities,EFL
WE_CHN_203,B1_1,CHN,M,Humanities,EFL
WE_CHN_204,B1_1,CHN,F,Humanities,EFL
WE_CHN_205,B1_1,CHN,F,Humanities,EFL
WE_CHN_206,B1_1,CHN,F,Humanities,EFL
WE_CHN_207,B1_1,CHN,F,Humanities,EFL
WE_CHN_208,B1_1,CHN,F,Humanities,EFL
WE_CHN_209,B1_1,CHN,M,Humanities,EFL
WE_CHN_210,A2_0,CHN,M,Humanities,EFL
WE_CHN_211,B1_1,CHN,M,Humanities,EFL
WE_CHN_212,B1_1,CHN,F,Humanities,EFL
WE_CHN_213,B1_1,CHN,F,Humanities,EFL
WE_CHN_214,B1_1,CHN,F,Humanities,EFL
WE_CHN_215,B1_1,CHN,F,Humanities,EFL
WE_CHN_216,A2_0,CHN,M,Humanities,EFL
WE_CHN_217,B1_2,CHN,F,Humanities,EFL
WE_CHN_218,B1_2,CHN,M,Humanities,EFL
WE_CHN_219,B1_1,CHN,M,Humanities,EFL
WE_CHN_220,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_221,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_222,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_223,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_224,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_225,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_226,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_227,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_228,B2_0,CHN,F,Social Sciences,EFL
WE_CHN_229,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_230,B1_2,CHN,F,Humanities,EFL
WE_CHN_231,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_232,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_233,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_234,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_235,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_236,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_237,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_238,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_239,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_240,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_241,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_242,B2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_243,B1_1,CHN,F,Life Sciences,EFL
WE_CHN_245,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_246,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_247,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_248,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_249,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_250,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_251,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_252,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_253,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_254,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_255,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_256,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_257,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_258,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_259,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_260,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_261,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_262,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_263,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_264,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_265,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_266,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_267,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_268,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_269,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_270,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_271,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_272,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_273,B1_2,CHN,F,Humanities,EFL
WE_CHN_274,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_275,B2_0,CHN,F,Social Sciences,EFL
WE_CHN_277,B2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_278,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_279,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_280,B1_2,CHN,F,Humanities,EFL
WE_CHN_281,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_282,A2_0,CHN,F,Sciences & Technology,EFL
WE_CHN_283,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_284,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_285,B1_1,CHN,F,Humanities,EFL
WE_CHN_286,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_287,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_288,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_289,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_290,B1_2,CHN,F,Life Sciences,EFL
WE_CHN_291,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_292,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_293,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_294,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_295,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_296,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_297,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_298,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_299,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_301,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_303,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_304,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_305,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_306,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_307,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_308,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_309,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_310,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_312,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_313,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_314,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_315,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_316,B2_0,CHN,F,Social Sciences,EFL
WE_CHN_317,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_318,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_319,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_320,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_322,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_323,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_324,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_325,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_326,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_328,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_329,B2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_330,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_331,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_332,B1_1,CHN,M,Life Sciences,EFL
WE_CHN_333,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_334,B2_0,CHN,M,Social Sciences,EFL
WE_CHN_335,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_336,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_337,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_338,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_339,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_340,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_341,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_342,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_343,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_344,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_345,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_346,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_347,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_348,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_349,B1_2,CHN,M,Social Sciences,EFL
WE_CHN_350,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_351,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_352,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_353,B2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_354,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_355,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_356,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_357,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_358,B1_1,CHN,F,Life Sciences,EFL
WE_CHN_359,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_360,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_361,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_362,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_363,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_364,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_365,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_366,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_367,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_369,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_370,B1_2,CHN,F,Humanities,EFL
WE_CHN_371,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_372,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_373,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_374,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_375,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_376,B1_1,CHN,F,Life Sciences,EFL
WE_CHN_377,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_378,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_379,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_380,B1_2,CHN,M,Humanities,EFL
WE_CHN_381,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_382,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_383,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_384,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_385,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_387,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_389,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_390,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_391,A2_0,CHN,M,Sciences & Technology,EFL
WE_CHN_392,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_393,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_394,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_395,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_396,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_397,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_398,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_399,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_400,B1_1,CHN,M,Sciences & Technology,EFL
WE_ENS_006,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_007,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_008,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_009,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_010,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_011,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_012,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_013,XX_0,ENS_USA,M,Social Sciences,NS
WE_ENS_014,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_015,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_016,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_017,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_018,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_019,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_020,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_021,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_022,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_023,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_024,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_025,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_026,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_027,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_028,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_029,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_030,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_031,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_032,XX_0,ENS_USA,F,Life Sciences,NS
WE_ENS_033,XX_0,ENS_USA,M,Life Sciences,NS
WE_ENS_034,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_035,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_036,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_037,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_038,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_039,XX_0,ENS_USA,F,Sciences & Technology,NS
WE_ENS_040,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_041,XX_0,ENS_USA,F,Humanities,NS
WE_ENS_042,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_043,XX_0,ENS_AUS,F,Social Sciences,NS
WE_ENS_044,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_045,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_046,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_047,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_048,XX_0,ENS_USA,M,Humanities,NS
WE_ENS_049,XX_0,ENS_USA,M,Social Sciences,NS
WE_ENS_050,XX_0,ENS_USA,F,Social Sciences,NS
WE_ENS_051,XX_0,ENS_USA,M,Social Sciences,NS
WE_ENS_052,XX_0,ENS_USA,M,Sciences & Technology,NS
WE_ENS_053,XX_0,ENS_USA,F,Life Sciences,NS
WE_ENS_054,XX_0,ENS_USA,M,Social Sciences,NS
